strategy,date,action,basket_drawdown_from_1y_high,st_gain,lt_gain,portfolio_value
weekly_gate_10pct,2018-04-06,basket_to_gld,-0.1343181649912366,0.0,436069.97727705253,714081.3411397755
weekly_gate_10pct,2018-04-13,gld_to_basket,-0.09273329772130934,5988.800394815975,0.0,719350.0713930569
weekly_gate_10pct,2018-04-20,basket_to_gld,-0.10004279485037049,-5795.525470549357,0.0,712840.991376585
weekly_gate_10pct,2018-05-04,gld_to_basket,-0.09844079002340966,-11765.261737263063,0.0,700374.6539096826
weekly_gate_10pct,2018-10-12,basket_to_gld,-0.13225041953769645,28231.403235623613,0.0,727877.451088161
weekly_gate_10pct,2019-03-22,gld_to_basket,-0.09153990930395584,44203.50739389029,0.0,626365.0222854008
weekly_gate_10pct,2019-05-10,basket_to_gld,-0.10448438484632805,-8924.956412073807,0.0,616822.6258074536
weekly_gate_10pct,2019-06-28,gld_to_basket,-0.09515786494679879,59787.53369740117,0.0,675933.54934535
weekly_gate_10pct,2019-08-02,basket_to_gld,-0.10400725064271443,-4262.862658806494,0.0,670999.015999857
weekly_gate_10pct,2019-08-09,gld_to_basket,-0.09686336492189074,26516.01630540099,0.0,696817.5172729527
weekly_gate_10pct,2019-08-16,basket_to_gld,-0.10581007826793709,-6902.860917612677,0.0,689224.7416989846
weekly_gate_10pct,2019-08-30,gld_to_basket,-0.08400235978835635,4682.370405537076,0.0,693213.2049924174
weekly_gate_10pct,2020-02-28,basket_to_gld,-0.16419663652043703,127987.84309006657,0.0,774040.1031011258
weekly_gate_10pct,2020-04-17,gld_to_basket,-0.08164260226798503,53157.233325178735,0.0,826370.1390898782
weekly_gate_10pct,2020-05-01,basket_to_gld,-0.13426456436729972,-47351.08384446462,0.0,778240.0361901681
weekly_gate_10pct,2020-05-08,gld_to_basket,-0.07171880185910784,3117.243409481249,0.0,780575.9223200496
weekly_gate_10pct,2020-09-11,basket_to_gld,-0.11537254996164714,208222.55690236622,0.0,987809.6807431934
weekly_gate_10pct,2020-09-25,gld_to_basket,-0.09116185558146839,-40660.15566054091,0.0,946202.3755575698
weekly_gate_10pct,2020-10-30,basket_to_gld,-0.1121609172928616,-21862.376923574833,0.0,923415.658635361
weekly_gate_10pct,2020-11-06,gld_to_basket,0.0,36632.6937464755,0.0,959088.3040294548
weekly_gate_10pct,2021-03-05,basket_to_gld,-0.12266161277869247,25358.501698463806,0.0,833877.0494540249
weekly_gate_10pct,2021-03-12,gld_to_basket,-0.09213438011189967,12313.78762922145,0.0,845344.646246163
weekly_gate_10pct,2022-01-07,basket_to_gld,-0.10167981383150593,521248.2440649689,0.0,1354361.773003666
weekly_gate_10pct,2022-01-14,gld_to_basket,-0.09364094786881749,15501.473169934703,0.0,1368493.382927427
weekly_gate_10pct,2022-01-21,basket_to_gld,-0.20756691077352563,-172014.53001670167,0.0,1195282.3740578147
weekly_gate_10pct,2023-03-31,gld_to_basket,-0.04679420740699891,0.0,71703.50934389129,1081976.4442999847
weekly_gate_10pct,2023-08-11,basket_to_gld,-0.11434248674590786,322899.5751133384,0.0,1403471.1433939098
weekly_gate_10pct,2023-08-25,gld_to_basket,-0.08535931419695397,157.96172809274867,0.0,1402225.4760168805
weekly_gate_10pct,2023-09-22,basket_to_gld,-0.13367630715153622,-74074.24521680712,0.0,1326823.0795692734
weekly_gate_10pct,2023-09-29,gld_to_basket,-0.09028206324884458,-53260.10139449756,0.0,1272289.415196601
weekly_gate_10pct,2023-10-20,basket_to_gld,-0.11907809169589045,-40272.793041452765,0.0,1230784.605532993
weekly_gate_10pct,2023-11-03,gld_to_basket,-0.04537947326778913,8044.761697498849,0.0,1237590.5378632615
weekly_gate_10pct,2024-04-12,basket_to_gld,-0.11623619888865466,925182.4892546546,0.0,2070647.2774237334
weekly_gate_10pct,2024-05-17,gld_to_basket,-0.0809100424926743,64633.18250895501,0.0,2133145.1794727556
weekly_gate_10pct,2024-07-19,basket_to_gld,-0.1252136582958192,177904.6871997486,0.0,2308738.8168058316
weekly_gate_10pct,2024-10-11,gld_to_basket,-0.07489096133580209,247190.15581726376,0.0,2553373.043650472
weekly_gate_10pct,2024-11-01,basket_to_gld,-0.13749866547735612,-172802.14266495267,0.0,2378190.330084534
weekly_gate_10pct,2024-11-08,gld_to_basket,-0.07740594451367366,-42482.77131157275,0.0,2333371.851214188
weekly_gate_10pct,2024-11-15,basket_to_gld,-0.13860977866473245,-154793.21912515722,0.0,2176400.053456942
weekly_gate_10pct,2024-12-06,gld_to_basket,-0.06178057321084429,58505.87887319876,0.0,2232671.026397811
weekly_gate_10pct,2024-12-20,basket_to_gld,-0.1119142524154646,-119302.59575837199,0.0,2111255.062208799
weekly_gate_10pct,2024-12-27,gld_to_basket,-0.09109423441021691,-6104.5199440047145,0.0,2103045.3917225297
weekly_gate_10pct,2025-01-10,basket_to_gld,-0.10136460538792558,-18089.55994987511,0.0,1581214.832484473
weekly_gate_10pct,2025-01-17,gld_to_basket,-0.07491954069100215,6752.684487769147,0.0,1586379.54945527
weekly_gate_10pct,2025-01-31,basket_to_gld,-0.16359125070442104,-152059.19221944106,0.0,1432886.036878593
