,2026-07-01
MU,0.35543329812645136
QQQ,0.25
SNDK,0.13307083091760508
NVDA,0.07724106938290451
BIL,0.04999999999999978
STX,0.049813657478076735
GEV,0.030609604990380183
AMD,0.027612414374400554
NBIS,0.0262191247301817
INTC,0.0
MRVL,0.0
VST,0.0
CEG,0.0
VRT,0.0
SMCI,0.0
AVGO,0.0
ANET,0.0
