strategy,window,cagr,sharpe,max_drawdown,worst_12m,turnover,end_value
current_weekly_rebalance_BIL_defensive,2016-07-01_to_today,0.5659871000187442,1.6643996602999738,-0.3085134312063871,-0.22093482899619032,10.10846616233914,24414551.504653983
current_weekly_rebalance_GLD_defensive,2016-07-01_to_today,0.6261304660652465,1.7654404346628305,-0.297013818290792,-0.2539842035860719,10.10846616233914,35552174.550177954
BIL_all_ai_individual_50dma_exit,2016-07-01_to_today,0.42894274432335466,1.4788613293733122,-0.26580649683945434,-0.18445803289555474,21.801167412396875,9795351.838479731
BIL_all_ai_individual_75dma_exit,2016-07-01_to_today,0.4475761995816987,1.482184323114219,-0.3051679368080442,-0.22606698129088565,19.68842366857062,11146276.43546249
BIL_all_ai_individual_100dma_exit,2016-07-01_to_today,0.4929877362266022,1.5677935988026017,-0.2957316545219787,-0.22530071177153776,15.548553542471756,15167193.916843982
BIL_all_ai_individual_150dma_exit,2016-07-01_to_today,0.48357277637222906,1.5285835762575855,-0.299885210465622,-0.2645598868338751,12.86683239628147,14239925.144094456
BIL_all_ai_individual_200dma_exit,2016-07-01_to_today,0.4868462856096629,1.5539855981896038,-0.26611829252669983,-0.2382361960893673,11.080091161513206,14556376.677639568
BIL_all_ai_basket_50dma_exit,2016-07-01_to_today,0.42995377495426235,1.4458211813574486,-0.3143847150557213,-0.16943007662032405,24.866687762754683,9864684.898475077
BIL_all_ai_basket_100dma_exit,2016-07-01_to_today,0.5125290003166179,1.567132293967811,-0.3003446355955737,-0.29362707270451815,13.954545250854967,17267245.546985738
BIL_all_ai_basket_150dma_exit,2016-07-01_to_today,0.5390304993570871,1.6182607919943894,-0.310821776448868,-0.25809890547372205,11.235508299315677,20532823.98040355
BIL_all_ai_basket_200dma_exit,2016-07-01_to_today,0.539151592935345,1.6180161863238658,-0.3130060687363446,-0.2673107407264075,10.415299595250799,20548940.372253336
BIL_all_ai_individual50_or_basket50_exit,2016-07-01_to_today,0.38865385907677075,1.4189698971759923,-0.22652464210925594,-0.15783126036885586,28.420641555787235,7364730.191529124
BIL_all_ai_individual100_or_basket100_exit,2016-07-01_to_today,0.46610232778173977,1.5154121621018177,-0.29026543092815404,-0.28147790333807887,18.04699871469897,12653331.612464124
BIL_all_ai_individual150_or_basket150_exit,2016-07-01_to_today,0.47502632187620564,1.516814030475496,-0.2989331199668671,-0.2839225199153942,13.51255132243396,13442701.430939369
BIL_all_ai_individual200_or_basket200_exit,2016-07-01_to_today,0.4760522408927843,1.5349693206363655,-0.2736672312909946,-0.26456148291450576,10.929016168945646,13536230.64586033
BIL_all_ai_10pct_from_21d_high_exit,2016-07-01_to_today,0.35680942309366315,1.3265645980281917,-0.2637436083707526,-0.23784314006717056,24.005426010818095,5843663.013569052
BIL_all_ai_15pct_from_21d_high_exit,2016-07-01_to_today,0.4409179625755768,1.457590126581203,-0.2963242295743205,-0.24133683311787735,17.20037059779119,10645440.549920611
BIL_all_ai_20pct_from_21d_high_exit,2016-07-01_to_today,0.5297077819214642,1.6228755701965176,-0.3282937188257091,-0.21134447131191159,12.005759071027528,19325666.409793552
BIL_all_ai_25pct_from_21d_high_exit,2016-07-01_to_today,0.5274949491828926,1.6014575114877423,-0.3176283159036636,-0.22034550031384392,11.199737624120138,19048685.470048532
BIL_all_ai_10pct_from_63d_high_exit,2016-07-01_to_today,0.3248184510635528,1.271767646887421,-0.24707185856796687,-0.22727370780354306,25.245768622911537,4606257.148549152
BIL_all_ai_15pct_from_63d_high_exit,2016-07-01_to_today,0.42695554475608155,1.450924597774561,-0.3126823303506717,-0.24186391720414213,17.333240324628033,9660352.773856508
BIL_all_ai_20pct_from_63d_high_exit,2016-07-01_to_today,0.502859864336108,1.5910398229109735,-0.32200575839923185,-0.2035109310683869,12.509144135847086,16197507.574887238
BIL_all_ai_25pct_from_63d_high_exit,2016-07-01_to_today,0.5094621338120946,1.5866406234665962,-0.31440038074497567,-0.21733859801334876,11.708342718274018,16921259.119163334
BIL_all_ai_10pct_from_126d_high_exit,2016-07-01_to_today,0.31780863916122826,1.2788970333148142,-0.24284787499109506,-0.17536696581227584,24.4209610694207,4368898.980490144
BIL_all_ai_15pct_from_126d_high_exit,2016-07-01_to_today,0.41041103607407914,1.4370916262421776,-0.29940745714693595,-0.2531015727071607,17.953378478969267,8599757.70562917
BIL_all_ai_20pct_from_126d_high_exit,2016-07-01_to_today,0.49383655865376985,1.5921452012124777,-0.33148872300601007,-0.21325802627738277,12.897841865163928,15253405.522742992
BIL_all_ai_25pct_from_126d_high_exit,2016-07-01_to_today,0.49083110643191374,1.5615221947601383,-0.32463251584653463,-0.2212779715873111,12.201542147632424,14950121.863608744
BIL_all_ai_individual100_plus_qqq100_exit,2016-07-01_to_today,0.45929670312238824,1.5133330202442692,-0.26558892033630765,-0.19861540510488918,21.036894008396775,12079645.801680371
BIL_all_ai_individual100_plus_qqq200_exit,2016-07-01_to_today,0.4784493118314683,1.555368705477294,-0.27368634003448655,-0.19972625914153852,17.83617799662008,13757048.89105986
GLD_all_ai_individual_50dma_exit,2016-07-01_to_today,0.4941649800562178,1.604043712544085,-0.25905267162521206,-0.21275927442283582,21.801167412396875,15286880.13113212
GLD_all_ai_individual_75dma_exit,2016-07-01_to_today,0.5101278166547054,1.5952493118032611,-0.29165335865757225,-0.26319602598046243,19.68842366857062,16995823.107817497
GLD_all_ai_individual_100dma_exit,2016-07-01_to_today,0.5590999092342455,1.6824487118713174,-0.284453120561746,-0.25885947502995543,15.548553542471756,23364666.399563864
GLD_all_ai_individual_150dma_exit,2016-07-01_to_today,0.5429599897999604,1.6323351125418162,-0.31623597131691983,-0.2992877564360291,12.86683239628147,21061645.73936828
GLD_all_ai_individual_200dma_exit,2016-07-01_to_today,0.5485607998094175,1.6630126372447642,-0.3107775874958987,-0.2822108454297072,11.080091161513206,21836576.936122186
GLD_all_ai_basket_50dma_exit,2016-07-01_to_today,0.4894907498234693,1.557338781672336,-0.2807992617069641,-0.19230680927291954,24.866687762754683,14816622.989681486
GLD_all_ai_basket_100dma_exit,2016-07-01_to_today,0.5725061020350495,1.6685043968452196,-0.34576584366607055,-0.3431010355886729,13.954545250854967,25447213.121602584
GLD_all_ai_basket_150dma_exit,2016-07-01_to_today,0.6038059388371324,1.7283388228773136,-0.3103919268545753,-0.28916720780003724,11.235508299315677,30973996.37512793
GLD_all_ai_basket_200dma_exit,2016-07-01_to_today,0.6027049291404403,1.7266778342803526,-0.31317351029388085,-0.2853891591673824,10.415299595250799,30762602.987367652
GLD_all_ai_individual50_or_basket50_exit,2016-07-01_to_today,0.45159307815076777,1.5397734696735454,-0.21793322172594742,-0.18020187753063122,28.420641555787235,11458583.304709742
GLD_all_ai_individual100_or_basket100_exit,2016-07-01_to_today,0.533359495948782,1.6337651176371182,-0.3294948653468651,-0.325418455725899,18.04699871469897,19790684.93604626
GLD_all_ai_individual150_or_basket150_exit,2016-07-01_to_today,0.5376351265466728,1.626980007897038,-0.3304880562005804,-0.3141303592384289,13.51255132243396,20347932.077416833
GLD_all_ai_individual200_or_basket200_exit,2016-07-01_to_today,0.541023274158051,1.6513547346571347,-0.3275145844737113,-0.2888663629160946,10.929016168945646,20799494.911781166
GLD_all_ai_10pct_from_21d_high_exit,2016-07-01_to_today,0.4077522862949037,1.4226405074268202,-0.3033660168098168,-0.2768238782417042,24.005426010818095,8439455.276570901
GLD_all_ai_15pct_from_21d_high_exit,2016-07-01_to_today,0.4980636397773346,1.5610448676358026,-0.3079046175350072,-0.28413206991955375,17.20037059779119,15689334.51170032
