strategy,window,cagr,sharpe,max_drawdown,worst_12m,turnover,end_value
static_buy_once_no_rebalance,2025-02-13_to_today,3.773590372307229,2.79577998015186,-0.37298067647674826,2.1266676718133803,0.0,2383652.248435593
current_weekly_rebalance_BIL_defensive,2025-02-13_to_today,1.5155043278955396,2.3539235537486545,-0.2510225329824328,0.9186921164953508,10.10846616233914,989104.8018414931
current_weekly_rebalance_GLD_defensive,2025-02-13_to_today,1.6612405756072772,2.4616636978194992,-0.2396998107275543,1.0936206619636146,10.10846616233914,1068624.1836086954
BIL_all_ai_individual_50dma_exit,2025-02-13_to_today,1.2275843448928692,2.3502508706972085,-0.1818755513242447,0.8138342489627504,21.801167412396875,837065.7076781827
BIL_all_ai_individual_75dma_exit,2025-02-13_to_today,1.074525108470398,2.132517106609499,-0.2323295648359751,0.6367468079706895,19.68842366857062,759122.966989215
BIL_all_ai_individual_100dma_exit,2025-02-13_to_today,1.028492991108322,2.044422849537351,-0.22768681978947458,0.6542038241098811,15.548553542471756,736091.5607242926
BIL_all_ai_individual_150dma_exit,2025-02-13_to_today,0.9690976953251087,1.887974601948505,-0.229541407129634,0.5054171968658117,12.86683239628147,706661.3777235983
BIL_all_ai_individual_200dma_exit,2025-02-13_to_today,0.9822739795951816,1.9403688982890275,-0.1850205342400787,0.3967928776903913,11.080091161513206,713161.9789118986
BIL_all_ai_basket_50dma_exit,2025-02-13_to_today,1.2561726049759474,2.2168846174510484,-0.20569637632094018,0.6759298851494999,24.866687762754683,851850.805156665
BIL_all_ai_basket_100dma_exit,2025-02-13_to_today,1.450316321614376,2.3243186205805944,-0.20179065800168627,0.8507548940861069,13.954545250854967,954082.4903767986
BIL_all_ai_basket_150dma_exit,2025-02-13_to_today,1.4109958383238097,2.265871384215318,-0.25352279640147846,0.8100997969281531,11.235508299315677,933124.384867034
BIL_all_ai_basket_200dma_exit,2025-02-13_to_today,1.4522439064021548,2.3015925076410007,-0.2558886929763813,0.852754201177127,10.415299595250799,955113.1529969665
BIL_all_ai_individual50_or_basket50_exit,2025-02-13_to_today,1.2626767475872818,2.4395781896120985,-0.14459340383269415,0.7615830118082538,28.420641555787235,855224.378320409
BIL_all_ai_individual100_or_basket100_exit,2025-02-13_to_today,1.0994790769172673,2.1445065727181203,-0.19341563613447965,0.734200015278931,18.04699871469897,771688.4565550158
BIL_all_ai_individual150_or_basket150_exit,2025-02-13_to_today,0.9727033035472947,1.8927040422604375,-0.22849365565098945,0.5092032956234243,13.51255132243396,708438.6191220776
BIL_all_ai_individual200_or_basket200_exit,2025-02-13_to_today,0.9822739795951816,1.9403688982890275,-0.1850205342400787,0.3967928776903913,10.929016168945646,713161.9789118986
