,weight
NBIS,0.2552797487410366
QQQ,0.24125153984423672
MU,0.19114842414309813
NVDA,0.07453810771136496
SNDK,0.07156414371808094
GLD,0.04745141602507944
CASH,0.03333333333333334
GEV,0.029538457351812205
SMCI,0.029248679185392746
AMD,0.02664614994656508
STX,0.0
ANET,0.0
CEG,0.0
VRT,0.0
MRVL,0.0
INTC,0.0
BIL,0.0
AVGO,0.0
VST,0.0
