Date,Open,Close
2015-01-02,112.48999786376953,114.08000183105469
2015-01-05,114.77999877929688,115.80000305175781
2015-01-06,116.22000122070312,117.12000274658203
2015-01-07,116.47000122070312,116.43000030517578
2015-01-08,116.44999694824219,115.94000244140625
2015-01-09,116.51000213623047,117.26000213623047
2015-01-12,117.45999908447266,118.55999755859375
2015-01-13,118.95999908447266,118.16000366210938
2015-01-14,119.08000183105469,117.97000122070312
2015-01-15,120.41000366210938,120.94000244140625
2015-01-16,121.7300033569336,122.5199966430664
2015-01-20,123.62999725341797,124.19999694824219
2015-01-21,125.18000030517578,124.2300033569336
2015-01-22,125.06999969482422,125.2300033569336
2015-01-23,124.43000030517578,124.2300033569336
2015-01-26,123.33000183105469,122.98999786376953
2015-01-27,123.55999755859375,124.4000015258789
2015-01-28,123.5199966430664,123.41999816894531
2015-01-29,121.98999786376953,120.76000213623047
2015-01-30,121.30000305175781,123.44999694824219
2015-02-02,121.83999633789062,122.41999816894531
2015-02-03,121.73999786376953,121.05000305175781
2015-02-04,121.62999725341797,121.58000183105469
2015-02-05,120.9800033569336,121.79000091552734
2015-02-06,119.1500015258789,118.63999938964844
2015-02-09,118.83000183105469,119.16999816894531
2015-02-10,118.62999725341797,118.47000122070312
2015-02-11,118.48999786376953,117.06999969482422
2015-02-12,117.68000030517578,117.33999633789062
2015-02-13,118.05000305175781,117.9800033569336
2015-02-17,116.4000015258789,116.01000213623047
2015-02-18,115.98999786376953,116.33999633789062
2015-02-19,116.4000015258789,115.94000244140625
2015-02-20,116.0999984741211,115.27999877929688
2015-02-23,115.11000061035156,115.43000030517578
2015-02-24,115.0,115.26000213623047
2015-02-25,115.83000183105469,115.69999694824219
2015-02-26,116.54000091552734,116.06999969482422
2015-02-27,116.73999786376953,116.16000366210938
2015-03-02,116.5,115.68000030517578
2015-03-03,116.04000091552734,115.47000122070312
2015-03-04,115.69999694824219,115.11000061035156
2015-03-05,115.43000030517578,115.0
2015-03-06,113.16999816894531,111.86000061035156
2015-03-09,112.41999816894531,111.97000122070312
2015-03-10,112.08999633789062,111.41999816894531
2015-03-11,111.2300033569336,110.75
2015-03-12,111.1500015258789,110.72000122070312
2015-03-13,111.0999984741211,110.87999725341797
2015-03-16,111.08999633789062,110.80999755859375
2015-03-17,109.91999816894531,110.20999908447266
2015-03-18,110.33000183105469,112.37000274658203
2015-03-19,111.8499984741211,112.29000091552734
2015-03-20,112.70999908447266,113.56999969482422
2015-03-23,113.69999694824219,114.29000091552734
2015-03-24,114.3499984741211,114.56999969482422
2015-03-25,115.11000061035156,114.7300033569336
2015-03-26,115.7300033569336,115.4800033569336
2015-03-27,115.13999938964844,115.05999755859375
2015-03-30,113.9000015258789,113.75
2015-03-31,113.83999633789062,113.66000366210938
2015-04-01,114.55999755859375,115.5999984741211
2015-04-02,115.47000122070312,115.27999877929688
2015-04-06,117.31999969482422,116.69000244140625
2015-04-07,116.2699966430664,116.11000061035156
