Date,AMD,ANET,AVGO,BIL,CEG,DRAM,GEV,MRVL,MU,NBIS,NVDA,QQQ,SMCI,SNDK,STX,VRT,VST
2014-01-02,3.950000047683716,,3.9009480476379395,73.75881958007812,,,,12.533616065979004,21.12471580505371,,0.3734086751937866,78.95686340332031,1.6440000534057617,,32.10087966918945,,
2014-01-03,4.0,,3.9157679080963135,73.77494049072266,,,,12.52476978302002,20.451770782470703,,0.3689352869987488,78.38687133789062,1.6710000038146973,,32.91774368286133,,
2014-01-06,4.130000114440918,,3.889094352722168,73.75881958007812,,,,12.94933795928955,20.1591854095459,,0.37387943267822266,78.09735870361328,1.659000039100647,,32.99305725097656,,
2014-01-07,4.179999828338623,,3.9261398315429688,73.77494049072266,,,,13.00240707397461,21.1929874420166,,0.3800008296966553,78.82118225097656,1.6770000457763672,,34.064823150634766,,
2014-01-08,4.179999828338623,,3.9846723079681396,73.77494049072266,,,,13.241229057312012,23.28010368347168,,0.38518059253692627,78.9930648803711,1.6740000247955322,,34.54566955566406,,
2014-01-09,4.090000152587891,,3.943922281265259,73.75881958007812,,,,13.400440216064453,22.66567039489746,,0.37081873416900635,78.73066711425781,1.6579999923706055,,33.607147216796875,,
2014-01-10,4.170000076293945,,3.949108600616455,73.77494049072266,,,,13.453511238098145,23.124053955078125,,0.37034785747528076,78.98400115966797,1.6920000314712524,,33.827301025390625,,
2014-01-13,4.130000114440918,,3.9002084732055664,73.77494049072266,,,,13.471203804016113,22.753448486328125,,0.36163654923439026,77.81687927246094,1.6640000343322754,,33.91419982910156,,
2014-01-14,4.300000190734863,,4.0950703620910645,73.77494049072266,,,,13.98422622680664,23.08504867553711,,0.37293770909309387,79.3006591796875,1.7029999494552612,,34.95119857788086,,
2014-01-15,4.46999979019165,,4.221027374267578,73.77494049072266,,,,13.727718353271484,22.753448486328125,,0.37694016098976135,79.95207214355469,1.7300000190734863,,35.24665451049805,,
2014-01-16,4.380000114440918,,4.106927394866943,73.77494049072266,,,,13.055482864379883,22.55838966369629,,0.37811726331710815,79.96113586425781,1.7990000247955322,,35.14237976074219,,
2014-01-17,4.179999828338623,,4.15953254699707,73.75881958007812,,,,12.984720230102539,21.826923370361328,,0.37646937370300293,79.50875091552734,1.7960000038146973,,35.45521926879883,,
2014-01-21,4.170000076293945,,4.157306671142578,73.77494049072266,,,,13.1704683303833,22.548641204833984,,0.37788188457489014,80.11492919921875,1.850000023841858,,35.478389739990234,,
2014-01-22,3.6700000762939453,,4.234363555908203,73.77494049072266,,,,13.559657096862793,23.065540313720703,,0.3774110972881317,80.32300567626953,2.296999931335449,,35.339359283447266,,
2014-01-23,3.619999885559082,,4.152860641479492,73.77494049072266,,,,13.426977157592773,23.0557861328125,,0.37599846720695496,80.05160522460938,2.197999954223633,,35.188724517822266,,
2014-01-24,3.4700000286102295,,4.0372796058654785,73.75881958007812,,,,13.055482864379883,22.35358238220215,,0.3663453459739685,78.47736358642578,2.0980000495910645,,33.93156814575195,,
2014-01-27,3.4100000858306885,,4.0343146324157715,73.75881958007812,,,,13.117395401000977,22.334074020385742,,0.363990843296051,77.71734619140625,2.1500000953674316,,33.630313873291016,,
2014-01-28,3.5399999618530273,,4.054320812225342,73.75881958007812,,,,13.205848693847656,22.480365753173828,,0.36752253770828247,77.672119140625,2.190999984741211,,29.84726905822754,,
2014-01-29,3.4800000190734863,,4.006158828735352,73.77494049072266,,,,13.152777671813965,22.14876937866211,,0.363990843296051,76.83976745605469,2.114000082015991,,31.081249237060547,,
2014-01-30,3.4800000190734863,,4.078768730163574,73.77494049072266,,,,13.294299125671387,22.8704833984375,,0.3701123595237732,78.26019287109375,2.132999897003174,,30.76261329650879,,
