Date,AAPL,ADBE,AMD,AMZN,ANET,AVGO,BIL,CEG,CRM,GEV,GOOGL,IEF,META,MRVL,MSFT,MU,NFLX,NVDA,ORCL,QCOM,QQQ,SNDK,SPY,STX,TSLA,VRT,VST
2015-11-25,26.562742233276367,91.7699966430664,2.380000114440918,33.766998291015625,4.610000133514404,9.748770713806152,73.61376190185547,,79.04252624511719,,38.12493896484375,83.6727294921875,104.49240112304688,7.752864837646484,46.803104400634766,15.194972038269043,12.416000366210938,0.758415937423706,33.544498443603516,36.31426239013672,105.597900390625,,175.4249267578125,21.652673721313477,15.309332847595215,,
2015-11-27,26.513233184814453,92.16999816894531,2.3299999237060547,33.66299819946289,4.5625,9.874054908752441,73.62989044189453,,78.61000061035156,,38.259239196777344,83.75936889648438,104.53204345703125,7.971767902374268,47.01232147216797,15.175468444824219,12.543999671936035,0.7647502422332764,33.476131439208984,36.25449752807617,105.74591064453125,,175.6260528564453,21.683992385864258,15.440667152404785,,
2015-11-30,26.623510360717773,91.45999908447266,2.359999895095825,33.2400016784668,4.59499979019165,9.905187606811523,73.62989044189453,,78.33478546142578,,37.8072509765625,83.79085540771484,103.33257293701172,8.081220626831055,47.37845230102539,15.536324501037598,12.333000183105469,0.7727901935577393,33.29671859741211,36.44122314453125,105.47761535644531,,174.89688110351562,22.510766983032227,15.350666999816895,,
2015-12-01,26.40745735168457,92.55000305175781,2.3399999141693115,33.952999114990234,4.643750190734863,10.090457916259766,73.61376190185547,,79.63232421875,,38.84505081176758,84.23649597167969,106.18750762939453,8.555512428283691,48.136844635009766,16.14099884033203,12.536999702453613,0.7978838682174683,33.518856048583984,36.8221435546875,106.5322036743164,,176.56468200683594,22.86778450012207,15.812666893005371,,
2015-12-02,26.168912887573242,92.0199966430664,2.2699999809265137,33.800498962402344,4.707499980926514,10.038825035095215,73.61376190185547,,79.50453186035156,,38.550662994384766,83.9998550415039,105.14664459228516,8.710569381713867,48.128135681152344,15.42904281616211,12.892999649047852,0.7917929291725159,33.0660285949707,38.72673797607422,105.8753890991211,,174.7628173828125,21.63388442993164,15.465999603271484,,
2015-12-03,25.92585563659668,89.91000366210938,2.2300000190734863,33.3125,4.701250076293945,10.993276596069336,73.62989044189453,,78.5706787109375,,38.07240676879883,83.11644744873047,103.47136688232422,8.30012321472168,47.24768829345703,15.224231719970703,12.680999755859375,0.7900877594947815,32.30559158325195,38.39064407348633,104.08074951171875,,172.315673828125,21.1516056060791,15.513999938964844,,
2015-12-04,26.78778839111328,92.58000183105469,2.2799999713897705,33.63199996948242,4.637499809265137,11.204367637634277,73.62989044189453,,80.74310302734375,,38.618072509765625,83.4240951538086,105.25569915771484,8.42781925201416,48.738338470458984,15.116950988769531,13.093000411987305,0.8222466707229614,33.45905685424805,39.092716217041016,106.51374816894531,,175.67630004882812,21.5775146484375,15.358667373657227,,
2015-12-07,26.6190128326416,89.5999984741211,2.359999895095825,33.49150085449219,4.638750076293945,11.300798416137695,73.62989044189453,,79.30792999267578,,38.30979537963867,83.69226837158203,104.69065856933594,8.29100227355957,48.65116882324219,14.483015060424805,12.53600025177002,0.8066545128822327,33.168556213378906,39.159934997558594,106.03267669677734,,174.61195373535156,21.984636306762695,15.408666610717773,,
2015-12-08,26.607759475708008,91.72000122070312,2.390000104904175,33.86650085449219,4.574999809265137,11.221071243286133,73.61376190185547,,79.70112609863281,,38.41635513305664,83.73959350585938,105.56298828125,7.679895401000977,48.63373565673828,14.239192962646484,12.697999954223633,0.817617654800415,33.09165573120117,36.956581115722656,106.04192352294922,,173.4386749267578,22.191333770751953,15.114666938781738,,
2015-12-09,26.02037239074707,89.55999755859375,2.3499999046325684,33.239498138427734,4.489999771118164,11.05933666229248,73.59770202636719,,78.35442352294922,,37.792388916015625,83.86578369140625,103.68943786621094,7.5430803298950195,47.927642822265625,13.966111183166504,12.420000076293945,0.7969092130661011,32.963497161865234,36.29185104370117,104.4322738647461,,172.08935546875,22.37297821044922,14.968000411987305,,
