Date,AMD,ANET,AVGO,BIL,CEG,GEV,INTC,MRVL,MU,NBIS,NVDA,QQQ,SMCI,SNDK,STX,VRT,VST
2015-01-02,2.6700000762939453,3.9175000190734863,7.532589435577393,73.69437408447266,,,27.896455764770508,13.052212715148926,33.89122772216797,,0.48242291808128357,94.5611343383789,3.4730000495910645,,39.552154541015625,,
2015-01-05,2.6600000858306885,3.987499952316284,7.4121785163879395,73.71045684814453,,,27.581890106201172,12.836474418640137,32.94520568847656,,0.4742748737335205,93.17404174804688,3.367000102996826,,39.34247970581055,,
2015-01-06,2.630000114440918,3.9881250858306885,7.243597984313965,73.69437408447266,,,27.067852020263672,13.3308744430542,32.05768966674805,,0.4598955810070038,91.92475128173828,3.2760000228881836,,38.258113861083984,,
2015-01-07,2.5799999237060547,4.071249961853027,7.439273357391357,73.69437408447266,,,27.635597229003906,13.519649505615234,31.30671501159668,,0.4586973488330841,93.10974884033203,3.299999952316284,,38.50373840332031,,
2015-01-08,2.609999895095825,4.132500171661377,7.811046123504639,73.69437408447266,,,28.149642944335938,14.400580406188965,32.837921142578125,,0.4759523570537567,94.89188385009766,3.4730000495910645,,39.19868850708008,,
2015-01-09,2.630000114440918,4.151249885559082,7.894581317901611,73.69437408447266,,,28.20334815979004,14.40957260131836,32.701377868652344,,0.47786957025527954,94.26718139648438,3.453000068664551,,39.80377960205078,,
2015-01-12,2.630000114440918,4.129374980926514,7.7636332511901855,73.69437408447266,,,28.080596923828125,14.310689926147461,30.877592086791992,,0.4718782305717468,93.28429412841797,3.4159998893737793,,38.965057373046875,,
2015-01-13,2.6600000858306885,4.07937479019165,7.719983100891113,73.69437408447266,,,28.003864288330078,14.121918678283691,30.07785415649414,,0.47115927934646606,93.25675201416016,3.4210000038146973,,38.79130935668945,,
2015-01-14,2.630000114440918,4.066249847412109,7.780941486358643,73.69437408447266,,,27.888778686523438,13.94213581085205,29.30738067626953,,0.4730764329433441,92.74231719970703,3.369999885559082,,38.695457458496094,,
2015-01-15,2.5199999809265137,3.950624942779541,7.625156879425049,73.69437408447266,,,27.766029357910156,13.798310279846191,28.575910568237305,,0.4697214365005493,91.53893280029297,3.315000057220459,,37.311546325683594,,
2015-01-16,2.390000104904175,4.033750057220459,7.813301086425781,73.69437408447266,,,27.965503692626953,13.969103813171387,28.273571014404297,,0.47834891080856323,92.61372375488281,3.506999969482422,,37.98851776123047,,
2015-01-20,2.240000009536743,4.091875076293945,7.892324924468994,73.69437408447266,,,27.689308166503906,14.103940963745117,28.936771392822266,,0.4797869026660919,93.34859466552734,3.7739999294281006,,37.81478500366211,,
2015-01-21,2.450000047683716,4.017499923706055,7.9307074546813965,73.71045684814453,,,27.98851776123047,14.166863441467285,29.736501693725586,,0.48649710416793823,93.82627868652344,3.4110000133514404,,37.916629791259766,,
