Date,AMD,ANET,AVGO,BIL,CEG,GEV,INTC,MRVL,MU,NBIS,NVDA,QQQ,SMCI,SNDK,STX,VRT,VST
2015-01-02,2.6700000762939453,3.797499895095825,7.595806734888219,73.69437408447266,,,28.134294957161373,13.079179855906025,34.36912005221581,,0.48242291808128357,95.31438962748616,3.5230000019073486,,39.94156626641229,,
2015-01-05,2.6700000762939453,3.9375,7.531086441229086,73.69433830848666,,,27.773697404677193,12.998278995386832,33.85222322700709,,0.4824231124787182,94.14776013984502,3.447000026702881,,39.456308964277234,,
2015-01-06,2.6500000953674316,4.0,7.446795363183656,73.69437408447266,,,27.68163787542212,12.854450981729894,33.25729249292901,,0.47499375948049893,93.31184602772797,3.369999885559082,,39.480265232161635,,
2015-01-07,2.630000114440918,4.024374961853027,7.303808365624941,73.7104926319555,,,27.34404930197548,13.375823583843282,30.750803511970744,,0.4632507549394561,92.53103055222405,3.306999921798706,,38.40788581718382,,
2015-01-08,2.5899999141693115,4.106874942779541,7.565705018695268,73.7104926319555,,,27.904129793920042,13.591558543810223,31.755355379986877,,0.46396968038981273,93.89978892964557,3.3329999446868896,,38.94107811518158,,
2015-01-09,2.630000114440918,4.126874923706055,7.862220140516287,73.7104926319555,,,28.21102209187192,14.382604600458073,32.925693473009936,,0.4776299338737932,95.18578575112736,3.484999895095825,,39.39040356211411,,
2015-01-12,2.619999885559082,4.130000114440918,7.907376352654612,73.69437408447266,,,28.310768102067,14.301700593607723,31.589551284434272,,0.4790678362329364,94.45091881412603,3.4700000286102295,,39.68996024949434,,
2015-01-13,2.640000104904175,4.129374980926514,7.810292815734511,73.7104926319555,,,28.287738257517148,14.373613996511502,31.1311641446113,,0.4754730485948054,94.19373279268316,3.433000087738037,,39.35445878527066,,
2015-01-14,2.5999999046325684,4.03125,7.609353105647567,73.69437408447266,,,27.87343667892062,13.933146478347043,29.5219450585687,,0.4661264931901922,92.31975993553705,3.3929998874664307,,38.473795728681424,,
2015-01-15,2.619999885559082,4.096875190734863,7.793735143500238,73.69437408447266,,,28.026887456188227,13.978092648287161,29.50243403405288,,0.47643174192001553,93.17404756344071,3.3919999599456787,,38.70743542270175,,
